BTC,ETH,ADA,BNB,XRP,SOL,DOT,DOGE,MATIC,LTC,date
-5.1540802899993696e-23,1.249324953625721e-24,5.396101249863094e-24,1.0,-2.732391586563374e-22,-1.072117309650673e-22,5.818458513892645e-23,-1.083432199010943e-22,-1.0557746557169868e-22,-1.0941988317754216e-22,2019-01-08
1.6659232884540551e-22,2.776674664211766e-22,1.114208870398159e-22,1.0,1.6634682338014987e-22,1.1117706113261281e-22,5.54814203164204e-23,1.1092397711453708e-22,2.222746675392652e-22,1.1111035477097044e-22,2019-01-15
2.2258890840808573e-22,2.2287229251960496e-22,1.1148155512574828e-22,3.330721842040457e-22,1.2526021268197054e-22,1.1135794434433754e-22,-8.264745363829077e-23,2.78237683244418e-22,2.2274908901845142e-22,1.0,2019-01-22
1.1120169783877297e-22,1.0,2.775590721002558e-22,-1.6154578423636056e-25,1.6669440010451098e-22,1.664837075971668e-22,8.334814331785325e-23,1.3884742301953733e-23,8.324115778772376e-23,5.580421121448799e-23,2019-01-29
-5.2424189541583813e-23,-1.0763782575053075e-22,3.622351978023724e-24,-1.9185033459375314e-22,-1.0940228832145264e-22,-8.222961176231371e-23,-1.651985934182593e-22,-1.0861788907638535e-22,-7.98682752767377e-23,1.0,2019-02-05
-2.218588568476151e-22,-1.104868796268868e-22,-1.6599655070400069e-22,1.0,-5.515150359195881e-23,-2.2159289612664246e-22,-2.2174222702222203e-22,-1.1045187905335425e-22,-1.1074604085065006e-22,-5.517905280185517e-23,2019-02-12
1.0,3.8869044243620125e-22,2.221641520568816e-22,1.6653176023221402e-22,2.2220060132801463e-22,5.559890299058555e-23,1.1108395971850445e-22,2.7773596471426155e-22,1.3880756084877955e-22,1.1116189333806144e-22,2019-02-19
1.1313220449143545e-22,1.1320989562562723e-22,-1.0807975704500753e-22,3.2033566656844558e-24,-1.092687051949679e-22,-1.0902875071741293e-22,-1.0963417207941245e-22,1.1063334368252915e-22,1.0,-1.0747424755168338e-22,2019-02-26
-5.542266311660843e-23,-2.213548435488188e-22,1.12076588949926e-22,1.685276083861896e-24,-1.3729489563683396e-22,1.12209038789898e-22,-1.0962270833964146e-22,1.1131958790721037e-22,1.0,-1.6494120603221198e-22,2019-03-05
1.1116770538171422e-22,8.324295458676168e-23,1.0,2.2204156116399885e-22,1.9441722684878513e-22,4.9524769289204763e-26,-5.557979359551372e-23,-1.1121480471417978e-22,2.0165647468304836e-26,2.4973775981327633e-22,2019-03-12
5.819841749442475e-23,3.1645711606398102e-24,1.1677016270581425e-22,1.150614667476052e-22,2.2595933383729323e-22,2.268613797094011e-22,8.715125746020839e-23,1.0,1.1187053517042352e-22,1.1463495112333773e-22,2019-03-19
5.69640298993733e-23,2.1656428425344386e-24,1.127204423063659e-22,7.045886355412167e-23,5.702195880833112e-23,7.97760636738489e-25,1.1177749322363924e-22,1.1246322593211244e-22,1.0,-1.0982306147050878e-22,2019-03-26
-1.0864578809216714e-22,-1.0668969530765982e-22,2.8749329228861295e-24,1.0,6.34989701457549e-23,2.2600644661660166e-22,1.1242216434919283e-22,1.126769929701383e-22,6.34561877629189e-23,-2.3136481144473495e-23,2019-04-02
